t,iso,vram_total_mb,server_pid,vram_server_mb,rss_mb,uptime_s,health_ms,health
1785950574.9,19:22:54,23806,,-1,-1,-1,6,000
1785950594.9,19:23:14,23733,,-1,-1,-1,5,000
1785950615.0,19:23:35,19316,145538,-1,27014,14,31,503
1785950636.3,19:23:56,19316,145538,-1,26245,35,26,200
1785950656.5,19:24:16,19316,145538,-1,25706,55,7,200
1785950676.7,19:24:36,19308,145538,-1,25621,75,6,200
1785950696.9,19:24:56,19316,145538,-1,25654,95,10,200
1785950717.0,19:25:17,19316,145538,-1,25694,115,7,200
1785950737.2,19:25:37,19315,145538,-1,25561,135,6,200
1785950757.4,19:25:57,1555,146541,-1,17889,5,6,503
1785950777.5,19:26:17,1555,146541,-1,29434,25,9,200
1785950797.7,19:26:37,1568,146541,-1,29602,46,29,200
1785950818.1,19:26:58,1617,146541,-1,30103,66,7,200
1785950838.3,19:27:18,1597,146541,-1,0,86,1513,000
1785950859.9,19:27:39,1590,147464,-1,29373,20,8,200
1785950880.1,19:28:00,1601,147464,-1,29790,40,6,200
1785950900.2,19:28:20,1602,147464,-1,29790,60,10,200
1785950920.4,19:28:40,1613,147464,-1,29827,80,6,200
1785950940.5,19:29:00,1576,147464,-1,30363,100,6,200
1785950960.7,19:29:20,1595,147464,-1,30363,120,6,200
1785950980.9,19:29:40,1587,147464,-1,30363,141,10,200
1785951001.1,19:30:01,1579,148199,-1,29488,18,7,200
1785951021.3,19:30:21,1589,148199,-1,29795,38,6,200
1785951041.5,19:30:41,1562,148199,-1,29885,58,6,200
1785951061.6,19:31:01,1559,148199,-1,29886,78,8,200
1785951081.8,19:31:21,1566,148199,-1,30126,98,11,200
1785951101.9,19:31:41,1572,148199,-1,30327,119,6,200
1785951122.1,19:32:02,1559,148984,-1,29323,16,10,200
1785951142.3,19:32:22,1558,148984,-1,29776,36,6,200
1785951162.4,19:32:42,1559,148984,-1,29782,56,11,200
1785951182.6,19:33:02,1562,148984,-1,29863,77,10,200
1785951202.7,19:33:22,1073,,-1,-1,-1,5,000
1785951222.8,19:33:42,1078,,-1,-1,-1,5,000
1785951242.9,19:34:02,1078,,-1,-1,-1,5,000
1785951263.0,19:34:22,1079,,-1,-1,-1,5,000
1785951283.0,19:34:43,1079,,-1,-1,-1,6,000
1785951303.1,19:35:03,1081,,-1,-1,-1,5,000
1785951323.2,19:35:23,1082,,-1,-1,-1,6,000
1785951343.2,19:35:43,1078,,-1,-1,-1,5,000
1785951363.3,19:36:03,1071,,-1,-1,-1,5,000
1785951383.4,19:36:23,1080,,-1,-1,-1,6,000
1785951403.4,19:36:43,1075,,-1,-1,-1,5,000
1785951423.5,19:37:03,1060,,-1,-1,-1,6,000
1785951443.6,19:37:23,1061,,-1,-1,-1,5,000
1785951463.6,19:37:43,1059,,-1,-1,-1,6,000
1785951483.7,19:38:03,1055,,-1,-1,-1,5,000
1785951503.8,19:38:23,1055,,-1,-1,-1,5,000
1785951523.9,19:38:43,1055,,-1,-1,-1,5,000
1785951543.9,19:39:03,1055,,-1,-1,-1,5,000
1785951564.0,19:39:24,1055,,-1,-1,-1,5,000
1785951584.1,19:39:44,1055,,-1,-1,-1,5,000
1785951604.1,19:40:04,1055,,-1,-1,-1,6,000
1785951624.2,19:40:24,1074,,-1,-1,-1,5,000
